ID;Source;Élément;Preuve;Confiance;Sévérité;Impact;Recommandation;Référence OWASP;Statut
VULN-001;BeVigil+Yaazhini;Insecure Communication (HTTP Cleartext Traffic);"com/android/insecurebankv2/ChangePassword.java (L53), DoLogin.java (L42), DoTransfer.java (L56) -> String protocol = 'http://';";Forte;High;Interception et vol d'identifiants ou de données bancaires sensibles via une attaque Man-in-the-Middle (MitM) sur des réseaux Wi-Fi publics ou non sécurisés.;Remplacer 'http://' par 'https://' et implémenter une Network Security Configuration pour interdire le trafic en clair (`android:usesCleartextTraffic='false'`).;OWASP M3:2024 - Insecure Communication;Confirmé
VULN-002;Yaazhini;Android Debuggable Enabled;AndroidManifest.xml (L17) -> android:debuggable='true';Forte;Medium;Permet à un attaquant d'attacher un débogueur (comme jdb/ADB) au processus de l'application en cours d'exécution, d'inspecter et modifier la mémoire vive et d'extraire des secrets d'exécution.;Désactiver le débogage dans les builds de production en configurant `android:debuggable='false'` dans le fichier AndroidManifest.xml ou via Gradle Proguard/R8 build variants.;OWASP M8:2024 - Insufficient Code Analysis;Confirmé
VULN-003;Yaazhini;Android Backup Vulnerability;AndroidManifest.xml (L17) -> android:allowBackup='true';Forte;Medium;Permet à toute personne ayant un accès physique à l'appareil (et ADB activé) d'extraire et de copier la totalité des données privées de l'application stockées localement dans `/data/data/com.android.insecurebankv2`.;Passer l'attribut à `android:allowBackup='false'` dans le manifeste pour bloquer l'extraction des données locales via l'outil de sauvegarde système.;OWASP M2:2024 - Insecure Data Storage;Confirmé
VULN-004;Yaazhini;Improper Export of Content Providers;AndroidManifest.xml (L30) -> <provider android:name='...TrackUserContentProvider' android:exported='true' ...>;Forte;Medium;Des applications malveillantes installées sur le même appareil peuvent interroger, voler ou modifier directement les données gérées par ce fournisseur de contenu sans aucune restriction.;Changer l'attribut à `android:exported='false'` ou restreindre l'accès à l'aide de permissions personnalisées strictes (`android:permission`).;OWASP M1:2024 - Improper Credential Usage / Platform Interactions;Confirmé
VULN-005;BeVigil+Yaazhini;Improper Export of Receivers & Activities;AndroidManifest.xml (L31) -> <receiver android:name='...MyBroadCastReceiver' android:exported='true'>;Forte;Medium;Possibilité pour des applications tierces d'injecter des intents malveillants, déclenchant des actions non autorisées au sein de l'application (ex: traçage de l'utilisateur, contournement de logique métier).;Forcer `android:exported='false'` pour tous les composants internes qui n'ont pas besoin d'interagir explicitement avec le reste du système Android.;OWASP M1:2024 - Improper Platform Interactions;Confirmé
VULN-006;BeVigil+Yaazhini;Insecure Cryptographic Algorithms (Weak Hash MD5 & SHA-1);Yaazhini: MessageDigest.getInstance('MD5') (4 occurrences) & 'SHA1' (1 occurrence). BeVigil: Weak crypto algorithms in zzbl.java.;Forte;Medium;Les fonctions de hachage MD5 et SHA-1 sont sujettes aux collisions et facilement cassables. Risque de compromission des empreintes ou des mécanismes d'intégrité.;Migrer vers des algorithmes cryptographiques modernes et robustes tels que SHA-256 ou des fonctions de dérivation de clés comme PBKDF2 / Argon2 pour les mots de passe.;OWASP M5:2024 - Insecure Cryptography;Confirmé
VULN-007;Yaazhini;Insecure Cryptographic Signature (SHA1withRSA);com/google/android/gms/ads/internal/purchase/zzl.java (L21) -> Signature.getInstance('SHA1withRSA');Forte;Medium;Faiblesse algorithmique lors de la vérification ou de la génération des signatures de transactions/achats in-app, permettant potentiellement la falsification de preuves.;Remplacer l'algorithme obsolète par un standard sécurisé comme SHA256withRSA.;OWASP M5:2024 - Insecure Cryptography;Confirmé
VULN-008;Yaazhini;Use of Insufficiently Random Values;java.util.Random utilisé dans client/zzl.java, Tracker.java, iid/zzc.java;Forte;Medium;La classe `java.util.Random` produit des nombres pseudo-aléatoires prédictibles. Un attaquant peut deviner les jetons de session, les identifiants ou les clés générés si le générateur est compromis.;Utiliser impérativement `java.security.SecureRandom` pour toute génération de valeur à but de sécurité ou d'identifiant unique.;OWASP M5:2024 - Insecure Cryptography;Confirmé
VULN-009;BeVigil+Yaazhini;Insecure Storage in External Storage & Shared Preferences;BeVigil: Stockage d'infos sensibles dans SharedPreferences (91%). Yaazhini: Fichiers Statements_*.html créés sur Environment.getExternalStorageDirectory().;Forte;Medium;Fuite massive de données financières (relevés bancaires au format HTML). Les fichiers stockés sur l'espace externe ou dans des préférences mal protégées sont lisibles par d'autres applications.;Enregistrer les fichiers sensibles exclusivement sur le stockage interne de l'application via `Context.getFilesDir()`. Utiliser EncryptedSharedPreferences pour les paires clé-valeur sensibles.;OWASP M2:2024 - Insecure Data Storage;Confirmé
VULN-010;Yaazhini;JavaScript Enabled in WebView;"com/android/insecurebankv2/ViewStatement.java (L27) -> mWebView.getSettings().setJavaScriptEnabled(true);";Forte;Low;Ouvre la porte à des attaques par Cross-Site Scripting (XSS) local. Si un injecteur injecte du code malveillant dans les relevés HTML, il s'exécutera avec les privilèges de la WebView.;Désactiver JavaScript si ce n'est pas strictement requis. Sinon, valider rigoureusement les sources de données chargées et utiliser des mécanismes de protection comme le sandboxing.;OWASP M1:2024 - Improper Platform Interactions;Confirmé
VULN-011;BeVigil;Possible Hardcoded Secrets inside configuration files;BeVigil notes: Possible secret dans resources/res/values/strings.xml;Moyenne;Low;Des clés d'API tierces ou des clés secrètes codées en dur peuvent être extraites par décompilation (reverse engineering) et exploitées à des fins malveillantes.;Auditer le fichier strings.xml pour supprimer les secrets critiques. Utiliser le Android Keystore System ou des variables d'environnement distantes sécurisées.;OWASP M7:2024 - Insufficient Data Protection;À confirmer
VULN-012;BeVigil;Sensitive Information Leakage via Application Logs;BeVigil notes: Informations sensibles dans les logs : 7.2%;Moyenne;Low;Les logs système (Logcat) capturent des informations confidentielles qui peuvent être lues par d'autres applications disposant des droits de lecture des journaux ou via un accès physique USB.;Nettoyer ou désactiver toutes les fonctions Log.d() / Log.v() de débogage à l'aide de règles ProGuard en production.;OWASP M2:2024 - Insecure Data Storage;À confirmer
VULN-013;Yaazhini;Missing Copy-Paste Clipboard Protection from EditText Fields;res/layout/activity_log_main.xml (L13) et activity_change_password.xml (L7);Forte;Info;Les mots de passe ou codes secrets saisis peuvent être copiés dans le presse-papiers Android général, le rendant accessible à n'importe quelle autre application tierce résidente.;Désactiver le copier-coller sur les champs critiques de saisie de mot de passe en surchargeant le callback `setCustomSelectionActionModeCallback`.;OWASP M2:2024 - Insecure Data Storage;Confirmé
